Name,School,Rating,School_key,Conf,conf_z,Rating_conf
David N'Guessan,Kansas St.,85.9699166666667,kansasst,B12,1.7207353516788697,93.21319634505359
Alijah Martin,Florida,84.8764333333333,florida,SEC,2.0829954257165264,93.10246565031201
Tomislav Ivisic,Illinois,84.83615,illinois,Big Ten,2.0829954257165264,93.03512015983111
Chaney Johnson,Auburn,84.8054166666666,auburn,SEC,2.0829954257165264,92.98378692174188
Curtis Jones,Iowa St.,85.8235666666667,iowast,B12,1.7207353516788697,92.98287970470838
Dawson Garcia,Minnesota,84.5680666666667,minnesota,Big Ten,2.0829954257165264,92.58869811968113
Arthur Kaluma,Texas,84.5338999999999,texas,SEC,2.0829954257165264,92.53202098707304
Caleb Love,Arizona,85.5241333333334,arizona,B12,1.7207353516788697,92.513994429043
Nelly Joseph,New Mexico,87.0039666666667,newmexico,Mountain West,1.2377219196286608,92.38840238301788
Tamin Lipsey,Iowa St.,85.4155833333334,iowast,B12,1.7207353516788697,92.34478619390029
Devin McGlockton,Vanderbilt,84.39645,vanderbilt,SEC,2.0829954257165264,92.30450838849299
Donovan Dent,New Mexico,86.9028666666668,newmexico,Mountain West,1.2377219196286608,92.24537348094653
Maxime Raynaud,Stanford,85.3028666666667,stanford,ACC,1.7207353516788697,92.16951370556373
Eric Dixon,Villanova,84.3146666666666,villanova,Big East,2.0829954257165264,92.16951238288334
Chase Hunter,Clemson,85.0471666666667,clemson,ACC,1.7207353516788697,91.77351956699039
LJ Cryer,Houston,85.0400333333334,houston,B12,1.7207353516788697,91.76250436287421
Igor Milicic Jr.,Tennessee,83.9973999999999,tennessee,SEC,2.0829954257165264,91.64843924347683
Yaxel Lendeborg,UAB,88.8305666666666,uab,AAC,0.6339551295658994,91.56221347624017
Tucker DeVries,West Virginia,84.9008666666667,westvirginia,B12,1.7207353516788697,91.54794975277957
Andrew Carr,Kentucky,83.9295166666666,kentucky,SEC,2.0829954257165264,91.53748668639805
Javon Small,West Virginia,84.8711166666667,westvirginia,B12,1.7207353516788697,91.5021687598177
Thomas Haugh,Florida,83.8441499999999,florida,SEC,2.0829954257165264,91.39822536503283
Tre Donaldson,Michigan,83.8014166666666,michigan,Big Ten,2.0829954257165264,91.3286245142986
Josh Hubbard,Mississippi St.,83.7512833333334,mississippist,SEC,2.0829954257165264,91.24706554516496
Otega Oweh,Kentucky,83.7476,kentucky,SEC,2.0829954257165264,91.24107736180711
RJ Davis,North Carolina,84.6343166666667,northcarolina,ACC,1.7207353516788697,91.13882671091429
Jamiya Neal,Creighton,83.6745666666667,creighton,Big East,2.0829954257165264,91.12245658043814
RJ Luis Jr.,St. John's,83.5853,stjohns,Big East,2.0829954257165264,90.97776163564528
Clifford Omoruyi,Alabama,83.5685833333333,alabama,SEC,2.0829954257165264,90.9507007083826
Payton Sandfort,Iowa,83.5620333333333,iowa,Big Ten,2.0829954257165264,90.94010063039633
Matthew Murrell,Mississippi,83.5607,mississippi,SEC,2.0829954257165264,90.93794306447059
Jordan Gainey,Tennessee,83.5291833333333,tennessee,SEC,2.0829954257165264,90.88696434616898
Nique Clifford,Colorado St.,85.9337499999999,coloradost,Mountain West,1.2377219196286608,90.88686184338195
Jaden Bradley,Arizona,84.395350000000093,arizona,B12,1.7207353516788697,90.77405307188756
Jaylen Murray,Mississippi,83.45565,mississippi,SEC,2.0829954257165264,90.76817750869073
Dillon Mitchell,Cincinnati,84.36425,cincinnati,B12,1.7207353516788697,90.72671881835404
Nolan Winter,Wisconsin,83.3997166666666,wisconsin,Big Ten,2.0829954257165264,90.67796644161199
Jayden Quaintance,Arizona St.,84.2962,arizonast,B12,1.7207353516788697,90.62325745235144
Khaman Maluach,Duke,84.2392833333333,duke,ACC,1.7207353516788697,90.53683947253832
Devin Royal,Ohio St.,83.2946999999999,ohiost,Big Ten,2.0829954257165264,90.50892810908309
Steven Crowl,Wisconsin,83.2598833333333,wisconsin,Big Ten,2.0829954257165264,90.45298247996558
Josh Dix,Iowa,83.2431500000001,iowa,Big Ten,2.0829954257165264,90.4261113411908
Keshon Gilbert,Iowa St.,84.1496333333333,iowast,B12,1.7207353516788697,90.40093628347664
Denver Jones,Auburn,82.97275,auburn,SEC,2.0829954257165264,89.99341671928265
Caleb Grill,Missouri,82.9541833333333,missouri,SEC,2.0829954257165264,89.96381120926448
Mark Mitchell,Missouri,82.9294833333333,missouri,SEC,2.0829954257165264,89.92444657020484
Cedric Coward,Washington St.,87.4133666666666,washingtonst,WCC,0.6339551295658994,89.870949577704
Jeremiah Fears,Oklahoma,82.8722333333333,oklahoma,SEC,2.0829954257165264,89.83329777772357
Miles Kelly,Auburn,82.8704333333334,auburn,SEC,2.0829954257165264,89.83043402540702
Richie Saunders,BYU,83.7483,byu,B12,1.7207353516788697,89.79573358009135
Chaz Lanier,Tennessee,82.8409166666667,tennessee,SEC,2.0829954257165264,89.78349169021375
KJ Adams,Kansas,83.6501000000001,kansas,B12,1.7207353516788697,89.64843690719496
Deivon Smith,St. John's,82.7499333333333,stjohns,Big East,2.0829954257165264,89.63900666039478
Dailyn Swain,Xavier,82.7490333333333,xavier,Big East,2.0829954257165264,89.63757902066864
Alvaro Cardenas,Boise St.,84.9385333333333,boisest,Mountain West,1.2377219196286608,89.51467189995198
Tre Johnson,Texas,82.6492,texas,SEC,2.0829954257165264,89.479410097016
Ryan Nembhard,Gonzaga,87.0804166666667,gonzaga,WCC,0.6339551295658994,89.4767256449809
Ryan Conwell,Xavier,82.6426,xavier,Big East,2.0829954257165264,89.4689670010175
Kadary Richmond,St. John's,82.6315333333334,stjohns,Big East,2.0829954257165264,89.45146009984853
Cameron Matthews,Mississippi St.,82.6102499999999,mississippist,SEC,2.0829954257165264,89.41780413276764
Hassan Diarra,Connecticut,82.55015,connecticut,Big East,2.0829954257165264,89.32285969414191
Kylan Boswell,Illinois,82.5398333333333,illinois,Big Ten,2.0829954257165264,89.30657555131778
Kobe Johnson,UCLA,82.5254666666667,ucla,Big Ten,2.0829954257165264,89.28390552173971
Zeke Mayo,Kansas,83.3833,kansas,B12,1.7207353516788697,89.24978939950508
Wade Taylor IV,Texas A&M,82.4886333333333,texasam,SEC,2.0829954257165264,89.22581988332762
Rasheer Fleming,Saint Joseph's,86.85985,saintjosephs,A10,0.6339551295658994,89.21620298123314
Ace Bailey,Rutgers,82.4677,rutgers,Big Ten,2.0829954257165264,89.19283130840735
Graham Ike,Gonzaga,86.8084666666667,gonzaga,WCC,0.6339551295658994,89.15558365332649
Mason Falslev,Utah St.,84.6022333333333,utahst,Mountain West,1.2377219196286608,89.05605952299352
Rafael Castro,George Washington,86.7147666666666,georgewashington,A10,0.6339551295658994,89.04511124868455
Tyson Degenhart,Boise St.,84.5937666666667,boisest,Mountain West,1.2377219196286608,89.0445459490437
J'Vonne Hadley,Louisville,83.2107833333333,louisville,ACC,1.7207353516788697,88.99320928896998
Darius Johnson,UCF,83.1642333333333,ucf,B12,1.7207353516788697,88.92413555459679
Pop Isaacs,Creighton,82.2472666666667,creighton,Big East,2.0829954257165264,88.84646013663462
Sion James,Duke,83.0677166666667,duke,ACC,1.7207353516788697,88.78113247586253
Max Shulga,VCU,86.45455,vcu,A10,0.6339551295658994,88.73878638127547
Fletcher Loyer,Purdue,82.1629666666666,purdue,Big Ten,2.0829954257165264,88.71448145650409
B.J. Edwards,SMU,82.9642833333334,smu,ACC,1.7207353516788697,88.62820101428953
Nick Davidson,Nevada,84.2625666666666,nevada,Mountain West,1.2377219196286608,88.59539374514823
Great Osobor,Washington,82.0661166666667,washington,Big Ten,2.0829954257165264,88.56318273933853
Augustas Marciulionis,Saint Mary's,86.2908333333333,saintmarys,WCC,0.6339551295658994,88.54641293913397
Tahaad Pettiford,Auburn,82.0175333333334,auburn,SEC,2.0829954257165264,88.48741763691123
Coleman Hawkins,Kansas St.,82.8344666666666,kansasst,B12,1.7207353516788697,88.43672597485545
Tyler Bilodeau,UCLA,81.95235,ucla,Big Ten,2.0829954257165264,88.385902680878
Kadin Shedrick,Texas,81.92075,texas,SEC,2.0829954257165264,88.336746227839555
Malique Ewin,Florida St.,82.7302,floridast,ACC,1.7207353516788697,88.28330951646686
Henri Veesaar,Arizona,82.7247499999999,arizona,B12,1.7207353516788697,88.27529957449738
Jaeden Zackery,Clemson,82.6777166666667,clemson,ACC,1.7207353516788697,88.20621152912862
Mitchell Saxen,Saint Mary's,85.9764666666666,saintmarys,WCC,0.6339551295658994,88.17777564331446
Jaylen Blakes,Stanford,82.6520166666666,stanford,ACC,1.7207353516788697,88.1684887399619
Miles Byrd,San Diego St.,83.9288666666666,sandiegost,Mountain West,1.2377219196286608,88.14526678501545
Dayvion McKnight,Xavier,81.7701333333333,xavier,Big East,2.0829954257165264,88.10295542006632
Jalen Leach,Northwestern,81.7596,northwestern,Big Ten,2.0829954257165264,88.08663652602024
Zach Hicks,Penn St.,81.6994333333333,pennst,Big Ten,2.0829954257165264,87.99350048547335
Jahmyl Telfort,Butler,81.68105,butler,Big East,2.0829954257165264,87.9650700875523
Desmond Claude,USC,81.6712666666667,usc,Big Ten,2.0829954257165264,87.94994488882847
John Blackwell,Wisconsin,81.6222333333333,wisconsin,Big Ten,2.0829954257165264,87.87419111352328
Rodney Rice,Maryland,81.6203333333334,maryland,Big Ten,2.0829954257165264,87.87125748189274
Bennett Stirtz,Drake,87.0723666666667,drake,MVC,0.27169505552824263,87.70383004852408
Ernest Udeh Jr.,TCU,82.2499,tcu,B12,1.7207353516788697,87.58084782614725
Jackson Shelstad,Oregon,81.4304,oregon,Big Ten,2.0829954257165264,87.57865828040838
PJ Haggerty,Memphis,85.4565166666667,memphis,AAC,0.6339551295658994,87.57021673830101
Joshua Jefferson,Iowa St.,82.2127333333334,iowast,B12,1.7207353516788697,87.52677768621359
Nick Kern,Penn St.,81.3674,pennst,Big Ten,2.0829954257165264,87.4818923547207
Hunter Sallis,Wake Forest,82.1270166666666,wakeforest,ACC,1.7207353516788697,87.40223305843121
Robbie Avila,Saint Louis,85.1977833333333,saintlouis,A10,0.6339551295658994,87.26887334904018
Aziz Bandaogo,Cincinnati,82.0254,cincinnati,B12,1.7207353516788697,87.25486722933479
Jaemyn Brakefield,Mississippi,81.2009666666666,mississippi,SEC,2.0829954257165264,87.2269412211469
Asa Newell,Georgia,81.1638166666667,georgia,SEC,2.0829954257165264,87.17016800678901
Jalon Moore,Oklahoma,81.0748166666667,oklahoma,SEC,2.0829954257165264,87.03435632546534
Emanuel Sharp,Houston,81.8478833333334,houston,B12,1.7207353516788697,86.99815786255253
James Scott,Louisville,81.8340500000001,louisville,ACC,1.7207353516788697,86.97819197112793
Kobe Sanders,Nevada,83.05015,nevada,Mountain West,1.2377219196286608,86.97130388881794
Moe Odum,Pepperdine,84.8466166666666,pepperdine,WCC,0.6339551295658994,86.86090553079144
Nijel Pack,Miami FL,81.7464333333334,miamifl,ACC,1.7207353516788697,86.85186263941549
Keeshawn Barthelemy,Oregon,80.9424333333334,oregon,Big Ten,2.0829954257165264,86.83286136565478
Jhamir Brickus,Villanova,80.9311833333334,villanova,Big East,2.0829954257165264,86.8157667051695
Matthew Cleveland,Miami FL,81.6952333333333,miamifl,ACC,1.7207353516788697,86.77814352319933
Anthony Robinson II,Missouri,80.83115,missouri,SEC,2.0829954257165264,86.66395891094402
Ishmael Leggett,Pittsburgh,81.60975,pittsburgh,ACC,1.7207353516788697,86.65523133229783
Tre'Von Spillers,Wake Forest,81.59405,wakeforest,ACC,1.7207353516788697,86.63268000864963
Chance McMillian,Texas Tech,81.5864666666666,texastech,B12,1.7207353516788697,86.6217899269274
Josh Ojianwuna,Baylor,81.5422333333333,baylor,B12,1.7207353516788697,86.55830141126954
Drew Thelwell,Iowa,80.7452833333334,iowa,Big Ten,2.0829954257165264,86.53392930826827
Joseph Tugler,Houston,81.5210833333333,houston,B12,1.7207353516788697,86.52796448885303
Malik Reneau,Indiana,80.7222166666666,indiana,Big Ten,2.0829954257165264,86.49904279940499
Jahmai Mashack,Tennessee,80.7208666666667,tennessee,SEC,2.0829954257165264,86.49700160474157
