"Name","School","Rating"
"Tuti Jones","Belmont Bruins",70.8048091129436
"Gianna Kneepkens","Utah Utes",70.8026777135942
"Dalayah Daniels","Washington Huskies",70.726380961918
"Peyton McDaniel","James Madison Dukes",70.7261064825768
"Jorie Allen","DePaul Blue Demons",70.7021029574149
"S'Mya Nichols","Kansas Jayhawks",70.6974858589297
"Alice Recanati","Eastern Kentucky Colonels",70.6876743620701
"Madison Booker","Texas Longhorns",70.6594415986653
"Sayvia Sellers","Washington Huskies",70.6526643227032
"Zanai Barnett-Gay","Navy Midshipmen",70.6161958266364
"Khamil Pierre","Vanderbilt Commodores",70.6082835030417
"Bella Vinson","Lipscomb Bisons",70.5981548889259
"Mikaylah Williams","LSU Tigers",70.5490032565909
"Leah Earnest","Valparaiso Beacons",70.5371331840431
"Lili Wilken","Alabama-Huntsville Chargers",70.5336899568777
"Ber'Nyah Mayo","St. John's Red Storm",70.514622428751
"Mikayla Blakes","Vanderbilt Commodores",70.4941134037693
"Kylie Horstmeyer","San Diego Toreros",70.4799256182184
"Emani Jefferson","Florida Gulf Coast Eagles",70.4707209629184
"Zahirah Walton","George Mason Patriots",70.4392336303664
"Tiarra Brown","Grand Canyon Lopes",70.4020307531018
"Ashtyn Barrett","Alice Lloyd College Eagles",70.3878194883166
"Liz Smith","Pacific Tigers",70.3266561688414
"Sira Thienou","Ole Miss Rebels",70.3077308008386
"Kierra Wheeler","Norfolk State Spartans",70.2794970976091
"Clara Strack","Kentucky Wildcats",70.2519296020483
"Aneesah Morrow","LSU Tigers",70.2457028415985
"Gal Raviv","Quinnipiac Bobcats",70.2285628752205
"Jade Hill","St. Thomas-Minnesota Tommies",70.2198331814557
"Amarachi Kimpson","UNLV Lady Rebels",70.1885205453169
"Yarden Garzon","Indiana Hoosiers",70.1704440603199
"Britt Prince","Nebraska Cornhuskers",70.1331629810891
"Avery Koenen","North Dakota State Bison",70.1022027244315
"Kayla Cooper","UAlbany Great Danes",70.1005223623205
"Jenna Batsch","Kent State Golden Flashes",70.0689412018727
"Amellia Bromenschenkel","Purdue Fort Wayne Mastodons",70.0570429482186
"Lauren Sansano","Texas Lutheran Bulldogs",69.9475774136749
"Macy McGlone","Eastern Illinois Panthers",69.926833699766
"Sophie Glancey","Northern Arizona Lumberjacks",69.9197194467784
"Meghan Mayotte","Ohio Dominican Panthers",69.910181142731
"Delaney Gibb","BYU Cougars",69.8850439116852
"Aziaha James","NC State Wolfpack",69.8516759507635
"Caia Elisaldez","Chattanooga Mocs",69.8458790043587
"Ashley Sofilkanich","Bucknell Bison",69.8453154105666
"Grace Arnolie","Brown Bears",69.7912446338985
"Chellia Watson","Buffalo Bulls",69.7678726237045
"Elise Williams","Wake Forest Demon Deacons",69.7664843685299
"Esmeralda Morales","Montana State Bobcats",69.7505112041809
"Aylasia Fantroy","Texas Southern Tigers",69.7354891458315
"Briana Marquez","Northern New Mexico Eagles",69.6844731317982
"Emily Mellema","Wyoming Cowgirls",69.6822757318141
"Brooke Paquette","Stonehill Skyhawks",69.6722353307314
"Adalia McKenzie","Illinois Fighting Illini",69.6626858288666
"Trinity Moore","Stephen F. Austin Ladyjacks",69.661894031053
"Fatmata Janneh","Saint Peter's Peacocks",69.6617771209081
"Taylor Feldman","Northern Arizona Lumberjacks",69.6515775185251
"Anna Miller","Drake Bulldogs",69.6027637063561
"Alasia Smith","Memphis Tigers",69.5750487024725
"Sydney Freeman","Purdue Fort Wayne Mastodons",69.5523400322127
"Nevaeh Thomas","Illinois State Redbirds",69.5477500608441
