"Name","School","Rating"
"Emme Shearer","Portland Pilots",70.1708
"Madison Booker","Texas Longhorns",70.1090166666666
"Alice Recanati","Eastern Kentucky Colonels",70.0637666666667
"Khamil Pierre","Vanderbilt Commodores",70.0231666666666
"Amy Velasco","Bowling Green Falcons",69.9959333333333
"Macy McGlone","Eastern Illinois Panthers",69.9924666666667
"Zahirah Walton","George Mason Patriots",69.9701999999999
"Kylie Horstmeyer","San Diego Toreros",69.9596666666667
"Leah Earnest","Valparaiso Beacons",69.9518166666666
"Emani Jefferson","Florida Gulf Coast Eagles",69.9512166666666
"Jordyn Dorsey","North Carolina A&T Aggies",69.9472166666666
"Tiarra Brown","Grand Canyon Lopes",69.9386166666666
"Sira Thienou","Ole Miss Rebels",69.9285
"Avery Koenen","North Dakota State Bison",69.9250666666667
"Zanai Barnett-Gay","Navy Midshipmen",69.8996333333333
"Gianna Kneepkens","Utah Utes",69.8817
"Ber'Nyah Mayo","St. John's Red Storm",69.8655333333333
"Jorie Allen","DePaul Blue Demons",69.8564
"Sophie Glancey","Northern Arizona Lumberjacks",69.8008666666666
"Ashley Hawkins","Gardner-Webb Runnin' Bulldogs",69.76845
"Amellia Bromenschenkel","Purdue Fort Wayne Mastodons",69.7546666666667
"Sayvia Sellers","Washington Huskies",69.7329166666666
"Liatu King","Notre Dame Fighting Irish",69.7231999999999
"Mikaylah Williams","LSU Tigers",69.7079666666666
"Anna Miller","Drake Bulldogs",69.6248666666667
"Alasia Smith","Memphis Tigers",69.6197833333333
"Yarden Garzon","Indiana Hoosiers",69.6191333333332
"Trinity Moore","Stephen F. Austin Ladyjacks",69.6106833333333
"Lili Wilken","Alabama-Huntsville Chargers",69.6018666666667
"S'Mya Nichols","Kansas Jayhawks",69.5308166666666
"Ashtyn Barrett","Alice Lloyd College Eagles",69.5135333333333
"Britt Prince","Nebraska Cornhuskers",69.505
"Liz Smith","Pacific Tigers",69.49895
"Ashley Sofilkanich","Bucknell Bison",69.4758666666667
"Fatmata Janneh","Saint Peter's Peacocks",69.4551666666667
"Kayla Cooper","UAlbany Great Danes",69.4478666666667
"Kayla Presley","Texas Lutheran Bulldogs",69.4407833333334
"Aylasia Fantroy","Texas Southern Tigers",69.4285333333333
"Amarachi Kimpson","UNLV Lady Rebels",69.4138166666667
"Meghan Mayotte","Ohio Dominican Panthers",69.4010833333333
"Ava Learn","Murray State Racers",69.3936
"Allyson Fertig","Wyoming Cowgirls",69.3901333333333
"Gal Raviv","Quinnipiac Bobcats",69.3612
"Ryley Goebel","Northern Iowa Panthers",69.3369833333333
"Nevaeh Thomas","Illinois State Redbirds",69.3325833333333
"Lauren Sansano","Texas Lutheran Bulldogs",69.2908
"Amber Tretter","Miami (OH) RedHawks",69.2870166666667
"Katie Collins","Pennsylvania Quakers",69.28445
"Jade Hill","St. Thomas-Minnesota Tommies",69.2725
"Elise Williams","Wake Forest Demon Deacons",69.25975
"Amelia Hassett","Kentucky Wildcats",69.2523166666667
"Destiny Brown","Alcorn State Lady Braves",69.2446833333333
"Kendall Bostic","Illinois Fighting Illini",69.2269833333333
"Molly Mogensen","Creighton Bluejays",69.2080333333333
"Emily Mellema","Wyoming Cowgirls",69.1941666666666
"Hannah Ronsiek","Colorado State Rams",69.1612833333333
"Mia Nicastro","Western Illinois Leathernecks",69.1532166666667
"Maya Hernandez","Loyola Marymount Lions",69.1456833333333
"Emma Smith","Denver Pioneers",69.11575
"Mikayla Blakes","Vanderbilt Commodores",69.1082333333333
"Ta'Mia Scott","Middle Tennessee Blue Raiders",69.1009
"Jenna Batsch","Kent State Golden Flashes",69.0782666666667
"Teonni Key","Kentucky Wildcats",69.0651333333334
"Delaney Gibb","BYU Cougars",69.0576166666667
"Adalia McKenzie","Illinois Fighting Illini",69.0546833333333
"Aziaha James","NC State Wolfpack",69.03605
"Briana Marquez","Northern New Mexico Eagles",69.0315833333333
"Halle Vice","Marquette Golden Eagles",69.0311166666667
"Megan Olbrys","Massachusetts Minutewomen",69.01925
