"Name","School","Rating"
"Caleb Grill","Missouri",83.8930823659351
"Denver Jones","Auburn",83.8716487310439
"Dylan Darling","Idaho St.",83.8650836056531
"Mark Mitchell","Missouri",83.81132755262
"Ryan Conwell","Xavier",83.8073720966761
"Brian Moore, Jr.","Norfolk St.",83.7940263889888
"Jaylen Blakes","Stanford",83.7903157306428
"Baba Miller","Florida Atlantic",83.7882524737812
"Sion James","Duke",83.7635103937222
"B.J. Edwards","SMU",83.7531805718717
"Earl Timberlake","Bryant",83.7481788313125
"Wade Taylor IV","Texas A&M",83.721368032046
"Ian Martinez","Utah St.",83.6681890719381
"Joe Anderson","Lipscomb",83.6469737636058
"Miles Kelly","Auburn",83.6139802212996
"Jaeden Zackery","Clemson",83.6073617808651
"Xzayvier Brown","Saint Joseph's",83.5941290953079
"Bez Mbeng","Yale",83.5925798806651
"Paul Otieno","Quinnipiac",83.5566048389725
"Enoch Cheeks","Dayton",83.5421472418088
"Dailyn Swain","Xavier",83.5357028482773
"Essam Mostafa","Middle Tennessee",83.5316122027217
"Coleman Hawkins","Kansas St.",83.4988670297791
"Malik Thomas","San Francisco",83.4980573995106
"Kadary Richmond","St. John's",83.4682982566735
"Sebastian Thomas","Rhode Island",83.4642414442421
"Malique Ewin","Florida St.",83.4548279485829
"Kaleb Banks","Tulane",83.4546180518571
"Devin Tillis","UC Irvine",83.4481665092679
"Kylan Boswell","Illinois",83.4455674444352
"Deivon Smith","St. John's",83.442812121892
"Jalen Jackson","Purdue Fort Wayne",83.4375565949781
"Hassan Diarra","Connecticut",83.3717767733141
"Pop Isaacs","Creighton",83.3617414666671
"Ace Bailey","Rutgers",83.3612763811262
"Trey Bonham","Chattanooga",83.3590563933853
"Jeff Woodward","Colgate",83.3320802212956
"Hunter Sallis","Wake Forest",83.2873166665813
"Henri Veesaar","Arizona",83.2498624473056
"Steve Settle","Temple",83.2199716409169
"Fletcher Loyer","Purdue",83.1645137210381
"Tytan Anderson","Northern Iowa",83.1630680666416
"LeJuan Watts","Washington St.",83.1022431362935
"Kobe Johnson","UCLA",83.0862600972557
"Cameron Matthews","Mississippi St.",83.0835032569611
"Joshua Jefferson","Iowa St.",83.059185602441
"Great Osobor","Washington",82.9713290282991
"Quincy Ballard","Wichita St.",82.9581212365082
"Nate Johnson","Akron",82.9498305755788
"Tahaad Pettiford","Auburn",82.9154025408029
"Reed Bailey","Davidson",82.9141318216762
"Jalen Leach","Northwestern",82.8848339325047
"Nolan Hickman","Gonzaga",82.8830721715349
"Brandon Noel","Wright St.",82.8637532296329
"Desmond Claude","USC",82.8415124005668
"PJay Smith","Furman",82.8222929830361
"Jahmyl Telfort","Butler",82.7795968793115
"Tyler Bilodeau","UCLA",82.7743719899918
"Nijel Pack","Miami FL",82.7711803503535
"Matthew Cleveland","Miami FL",82.7705031430504
"Emanuel Sharp","Houston",82.7557806432513
"JaKobe Coles","Grand Canyon",82.7342915001964
"Dayvion McKnight","Xavier",82.6556457057102
