Name,School,Rating
Lynn Kidd,Miami FL,83
Jamir Watkins,Florida St.,83
Joseph Tugler,Houston,83
Eddie Lampkin,Syracuse,83
Matt Cross,SMU,83
Isaac McKneely,Virginia,83
Alston Mason,Arizona St.,83
Seth Trimble,North Carolina,83
Terrence Edwards Jr.,Louisville,83
Frankie Collins,TCU,83
Baye Ndongo,Georgia Tech,83
Moustapha Thiam,UCF,83
Andrew Rohde,Virginia,83
Tobe Awaka,Arizona,83
Samson Johnson,Connecticut,83
Andersson Garcia,Texas A&M,83
Terrance Williams II,USC,83
Nimari Burnett,Michigan,83
Cam Carter,LSU,83
Dre Davis,Mississippi,83
Brooks Barnhizer,Northwestern,83
Liam McNeeley,Connecticut,83
Duke Miles,Oklahoma,83
Pharrel Payne,Texas A&M,83
Mouhamed Dioubate,Alabama,83
Zvonimir Ivisic,Arkansas,83
Nick Martinelli,Northwestern,83
Jeremy Fears Jr.,Michigan St.,83
Jordan Longino,Villanova,83
Tarris Reed Jr.,Connecticut,83
Micah Peavy,Georgetown,83
Micah Parrish,Ohio St.,83
Baba Miller,Florida Atlantic,82
Xzayvier Brown,Saint Joseph's,82
Enoch Cheeks,Dayton,82
Malik Thomas,San Francisco,82
Sebastian Thomas,Rhode Island,82
Kaleb Banks,Tulane,82
Steve Settle,Temple,82
LeJuan Watts,Washington St.,82
Quincy Ballard,Wichita St.,82
Reed Bailey,Davidson,82
Nolan Hickman,Gonzaga,82
Reyne Smith,Louisville,82
Javian McCollum,Georgia Tech,82
Jordan Ivy-Curry,UCF,82
Cameron Corhen,Pittsburgh,82
Flory Bidunga,Kansas,82
Jizzle James,Cincinnati,82
Efton Reid,Wake Forest,82
Dishon Jackson,Iowa St.,82
Fousseyni Traore,BYU,82
Max Klesmit,Wisconsin,82
Tyler Harris,Washington,82
Puff Johnson,Penn St.,82
Boogie Fland,Arkansas,82
Pierre Brooks,Butler,82
Morez Johnson Jr.,Illinois,82
Jonas Aidoo,Arkansas,82
A.J. Hoggard,Vanderbilt,82
Tramon Mark,Texas,82
Trevon Brazile,Arkansas,82
Patrick McCaffery,Butler,82
Chase Ross,Marquette,82
Jaxon Kohler,Michigan St.,82
Jaden Akins,Michigan St.,82
Essam Mostafa,Middle Tennessee,81
Tytan Anderson,Northern Iowa,81
Tyrese Hunter,Memphis,81
Jack Clark,VCU,81
Nate Kingz,Oregon St.,81
Melvin Council Jr.,St. Bonaventure,81
Christoph Tilly,Santa Clara,81
Malachi Smith,Dayton,81
Tru Washington,New Mexico,81
Keba Keita,BYU,81
Milan Momcilovic,Iowa St.,81
Matt Allocco,Notre Dame,81
Noah Reynolds,TCU,81
Jeremy Roach,Baylor,81
Kasean Pryor,Louisville,81
Gabe Madsen,Utah,81
Carter Bryant,Arizona,81
Chuck Harris,SMU,81
Basheer Jihad,Arizona St.,81
Aaron Scott,St. John's,81
Koby Brea,Kentucky,81
Will Riley,Illinois,81
Rueben Chinyelu,Florida,81
BJ Freeman,Arizona St.,81
Malik Dia,Mississippi,81
N.J. Benson,DePaul,81
Viktor Lakhin,Clemson,81
Jase Richardson,Michigan St.,81
TJ Bamba,Oregon,81
Jalen Reed,LSU,81
Saint Thomas,USC,81
Tre Holloman,Michigan St.,81
Matthew Nicholson,Northwestern,81
Wesley Yates III,USC,81
Labaron Philon,Alabama,81
Bensley Joseph,Providence,81
Johnell Davis,Arkansas,81
Tony Perkins,Missouri,81
Jordan Sears,LSU,81
Malik Mack,Georgetown,81
Chris Manon,Vanderbilt,81
Jordan Pope,Texas,81
Chase Walker,Illinois St.,80
Duke Deen,Bradley,80
Adrian Wooley,Kennesaw St.,80
Darius Hannah,Bradley,80
Zach Cleveland,Liberty,80
Colin Porter,Liberty,80
Bobby Durkin,Davidson,80
Damarco Minor,Oregon St.,80
Isaiah Swope,Saint Louis,80
Paulius Murauskas,Saint Mary's,80
Boubacar Coulibaly,Pepperdine,80
Dwon Odom,Tulsa,80
Nate Calmese,Washington St.,80
Adama Bal,Santa Clara,80
Connor Kochera,Davidson,80
Dedan Thomas Jr.,UNLV,80
Andrew Meadow,Boise St.,80
Julian Hammond III,Colorado,80
Andrej Stojakovic,California,80
Simas Lukosius,Cincinnati,80
Tre White,Illinois,80
Marchelus Avery,Oklahoma St.,80
Adam Miller,Arizona St.,80
Jamarii Thomas,South Carolina,80
Dallin Hall,BYU,80
Samet Yigitoglu,SMU,80
Taylor Bol Bowen,Florida St.,80
Donnie Freeman,Syracuse,80
Roddy Gayle Jr.,Michigan,80
Jayden Pierre,Providence,80
Ben Gold,Marquette,80
Daimion Collins,LSU,80
Claudell Harris Jr.,Mississippi St.,80
Dji Bailey,LSU,80
Henry Coleman III,Texas A&M,80
Ben Humrichous,Illinois,80
Stevie Mitchell,Marquette,80
Jaxson Robinson,Kentucky,80
Chris Youngblood,Alabama,80
Coen Carr,Michigan St.,80
Ty Berry,Northwestern,80
Rollie Worster,Nebraska,80
Nick Pringle,South Carolina,80
Lance Ware,UT Arlington,79
Tayton Conerway,Troy,79
Otis Frazier III,UTEP,79
Christian Davis,Bradley,79
Sean Newman Jr.,Louisiana Tech,79
Marcus Boykin,Sam Houston St.,79
Lamar Wilkerson,Sam Houston St.,79
Jonathan Pierre,Belmont,79
Samage Teel,Indiana St.,79
Babacar Faye,Western Kentucky,79
Taelon Peter,Liberty,79
Javon Bennett,Dayton,79
Kalu Anya,Saint Louis,79
Khalif Battle,Gonzaga,79
Braden Huff,Gonzaga,79
Erik Reynolds II,Saint Joseph's,79
Rowan Brumbaugh,Tulane,79
Tyeree Bryan,Santa Clara,79
Jordan Riley,East Carolina,79
Tre Coleman,Nevada,79
Ethan Taylor,Air Force,79
Josh Uduje,San Jose St.,79
Jalen Lake,Colorado St.,79
Javan Buchanan,Boise St.,79
Mustapha Amzil,New Mexico,79
Julian Rishwain,UNLV,79
Cameron Hildreth,Wake Forest,79
Trevin Knell,BYU,79
Dug McDaniel,Kansas St.,79
Oziyah Sellers,Stanford,79
Dan Skillings Jr.,Cincinnati,79
Tae Davis,Notre Dame,79
Eduardo Andre,West Virginia,79
Kario Oquendo,SMU,79
Brendan Hausen,Kansas St.,79
Abou Ousmane,Oklahoma St.,79
Mady Sissoko,California,79
Tyrese Proctor,Duke,79
Max Jones,Kansas St.,79
Lu'cye Patterson,Minnesota,79
Keanu Dawes,Utah,79
Mike Mitchell Jr.,Minnesota,79
Kamari McGee,Wisconsin,79
Corey Chest,LSU,79
Ven-Allen Lubin,North Carolina,79
Tyler Nickel,Vanderbilt,79
Motiejus Krivas,Arizona,79
Terrance Arceneaux,Houston,79
Elliot Cadeau,North Carolina,79
Marcus Hill,N.C. State,79
Brandon Garrison,Kentucky,79
Blue Cain,Georgia,79
Tyrin Lawrence,Georgia,79
Rashaun Agee,USC,79
Andre Screen,Butler,79
Oswin Erhunmwunse,Providence,79
Skyy Clark,UCLA,79
Riley Kugel,Mississippi St.,79
JaKobe Coles,Grand Canyon,78
Carter Whitt,Belmont,78
Mason Nicholson,Jacksonville St.,78
Trey Campbell,Northern Iowa,78
Miles Rubin,Loyola Chicago,78
Nicholas Jourdain,Memphis,78
Carlos Stewart,Santa Clara,78
Jlynn Counter,Middle Tennessee,78
Dane Erikstrup,Washington St.,78
Delonnie Hunt,Richmond,78
Ethan Price,Washington St.,78
Elijah Mahi,Santa Clara,78
Tyrone Riley IV,San Francisco,78
Javonte Brown,Rhode Island,78
Nik Graves,Charlotte,78
C.J. Walker,East Carolina,78
Darius Maddox,George Mason,78
RJ Felton,East Carolina,78
Tre Carroll,Florida Atlantic,78
Tre Dinkins,Duquesne,78
Jalen Haynes,George Mason,78
Dasonte Bowen,St. Bonaventure,78
Kobe Knox,South Florida,78
Marcus Millender,UTSA,78
Kyan Evans,Colorado St.,78
"Jeremiah ""Bear"" Cherry",UNLV,78
Jalen Hill,UNLV,78
Egor Demin,BYU,78
Ja'Vier Francis,Houston,78
Drake Powell,North Carolina,78
Maliq Brown,Duke,78
Sam Godwin,Oklahoma,78
JJ Starling,Syracuse,78
Myles Rice,Indiana,78
Selton Miguel,Maryland,78
Braeden Shrewsberry,Notre Dame,78
Andrej Jakimovski,Colorado,78
Trevor Baskin,Colorado,78
Kobe Elvis,Oklahoma,78
Felix Okpara,Tennessee,78
Dylan Cardwell,Auburn,78
Rytis Petraitis,California,78
Jayden Epps,Georgetown,78
Brandon Angel,Oregon,78
Pryce Sandfort,Iowa,78
Tyler Tanner,Vanderbilt,78
Juwan Gary,Nebraska,78
Finley Bizjack,Butler,78
Aday Mara,UCLA,78
Eric Dailey Jr.,UCLA,78
Luke Goode,Indiana,78
Jadrian Tracey,Oregon,78
Myles Tate,Appalachian St.,77
Matthew-Alexander Moncrieffe,Seattle,77
Tylan Pope,Texas St.,77
Tyrel Morgan,Texas St.,77
Trevan Leonhardt,Utah Valley,77
Owen Aquino,Liberty,77
Kaden Metheny,Liberty,77
Leon Bond III,Northern Iowa,77
Dalton Banks,Illinois St.,77
Kennard Davis Jr.,Southern Illinois,77
Raekwon Horton,UTSA,77
Nate Santos,Dayton,77
Atin Wright,North Texas,77
Isaiah Walker,Belmont,77
Modestas Kancleris,Illinois Chicago,77
"Jamal Mashburn, Jr.",Temple,77
Jordan Ross,Saint Mary's,77
Noel Brown,St. Bonaventure,77
Don McHenry,Western Kentucky,77
Chance Moore,St. Bonaventure,77
Lajae Jones,St. Bonaventure,77
Gibson Jimerson,Saint Louis,77
Daniel Rivera,Massachusetts,77
Brenen Lorient,North Texas,77
Christian Coleman,UAB,77
Jevon Porter,Loyola Marymount,77
Ndewedo Newbury,San Francisco,77
David Green,Rhode Island,77
Drake Allen,Utah St.,77
BJ Davis,San Diego St.,77
Jaden Henley,UNLV,77
Robert Vaihola,San Jose St.,77
Zaon Collins,Fresno St.,77
Jacob Cofie,Virginia,77
Karson Templin,Utah St.,77
Duncan Powell,Georgia Tech,77
Elijah Hawkins,Texas Tech,77
Donald Hand Jr.,Boston College,77
Jayden Taylor,N.C. State,77
Blake Buchanan,Virginia,77
Lawson Lovering,Utah,77
Berke Buyuktuncel,Nebraska,77
Brandon Johnson,Miami FL,77
Sencire Harris,West Virginia,77
Chibuzo Agbo,USC,77
Conor Enright,DePaul,77
Jake Wahlin,Utah,77
Meechie Johnson,Ohio St.,77
Dylan Addae-Wusu,Seton Hall,77
Joseph Pinion,Arkansas St.,76
Obinna Anochili-Killen,Marshall,76
Izaiyah Nelson,Arkansas St.,76
Tyon Grant-Foster,Grand Canyon,76
CJ Huntley,Appalachian St.,76
Jaron Pierre Jr.,Jacksonville St.,76
Cooper Schwieger,Valparaiso,76
Simeon Cottle,Kennesaw St.,76
JaCobi Wood,Murray St.,76
Sheldon Edwards Jr.,Loyola Chicago,76
Stefan Todorovic,Pepperdine,76
Elias Ralph,Pacific,76
Jackie Johnson III,Fordham,76
Will Johnston,Loyola Marymount,76
Brayden O'Connor,George Mason,76
Jamille Reynolds,South Florida,76
Phillip Russell,VCU,76
Moulaye Sissoko,North Texas,76
Kaleb Glenn,Florida Atlantic,76
Jayden Dawson,Loyola Chicago,76
Japhet Medor,Fordham,76
Zed Key,Dayton,76
Parsa Fallah,Oregon St.,76
Langston Love,Baylor,76
Bangot Dak,Colorado,76
J'Wan Roberts,Houston,76
Ben Middlebrooks,N.C. State,76
Mike Sharavjamts,Utah,76
Joson Sanon,Arizona St.,76
Jyare Davis,Syracuse,76
Mylik Wilson,Houston,76
Trazarien White,TCU,76
Jaquan Carlos,Syracuse,76
Parker Fox,Minnesota,76
Michael O'Connell,N.C. State,76
Isaiah Rivera,DePaul,76
Zoom Diallo,Washington,76
Dylan Andrews,UCLA,76
Sean Stewart,Ohio St.,76
Micah Handlogten,Florida,76
Anthony Dell'Orso,Arizona,76
Kowacie Reeves Jr.,Georgia Tech,76
Damian Dunn,Pittsburgh,76
Solomon Washington,Texas A&M,76
Ryan Agarwal,Stanford,76
Kanye Clary,Mississippi St.,76
Sebastian Mack,UCLA,76
Aden Holloway,Alabama,76
Julian Larry,Texas,76
Kerr Kriisa,Kentucky,76
Myles Corey,South Alabama,75
Denijay Harris,Southern Miss,75
Bryce Lindsay,James Madison,75
Taryn Todd,Arkansas St.,75
Nate Martin,Marshall,75
Barry Dunning Jr.,South Alabama,75
Duke Brennan,Grand Canyon,75
Tyrone Marshall,Western Kentucky,75
Zek Montgomery,Bradley,75
Sam Orme,Belmont,75
Aaron Gray,Indiana St.,75
Luke Barrett,Saint Mary's,75
Corey McKeithan,La Salle,75
Moussa Cisse,Memphis,75
Cam Manyawu,Drake,75
Dez White,Missouri St.,75
Niccolo Moretti,Florida Atlantic,75
Primo Spears,UTSA,75
All Wright,Valparaiso,75
Camryn Weston,Middle Tennessee,75
Jasper Floyd,North Texas,75
Liutauras Lelevicius,Oregon St.,75
Gregg Glenn III,Tulane,75
Josiah Lake II,Oregon St.,75
Damari Monsanto,UTSA,75
Rahsool Diggins,Massachusetts,75
Alex Merkviladze,Loyola Marymount,75
Jayden Reid,South Florida,75
Ryan Beasley,San Francisco,75
Caden Powell,Rice,75
Colby Rogers,Memphis,75
Des Watson,Loyola Chicago,75
Amael L'Etang,Dayton,75
Zion Stanford,Temple,75
